년월,1처리장평균유입량,2처리장평균유입량,3A처리장평균유입량,3B처리장평균유입량,4A처리장평균유입량,4B처리장평균유입량,하수처리장평균유입량,"1,2처리장평균방류량",3처리장평균방류량,4처리장평균방류량,하수처리장평균방류량
2012-01,114490,123863,89030,124442,16438,45486,513748,227846,141079,177278,546203
2012-02,104858,114158,92920,107532,50363,35793,505624,199484,137492,176829,513805
2012-03,106750,112673,107583,123707,67418,20094,538225,182836,133750,183802,500388
2012-04,113795,114421,105017,115076,50523,32525,531357,197580,140925,212772,551277
2012-05,110148,113901,103931,108030,41483,42348,519841,249616,110027,210402,570044
2012-06,88778,109261,103975,105582,76165,41359,525121,269134,124994,230885,625014
2012-07,122866,127935,118113,129321,111838,82464,692537,326755,207267,270275,804298
2012-08,140635,141822,118516,130763,122932,125671,780340,300836,220934,269413,791182
2012-09,131984,137958,115865,118775,131627,130344,766553,254896,188569,201228,644693
2012-10,110567,113492,80824,89317,103551,105791,603542,216308,176837,188725,581870
2012-11,113372,110002,83488,80182,98615,104967,590625,204401,141682,182000,528082
2012-12,99408,109122,83262,84062,99109,100400,575364,214977,129546,182614,527137
2013-01,79057,86923,91930,97193,106363,106949,568415,156475,179395,202978,538848
2013-02,102039,88093,77377,80066,105042,109698,562315,180785,148226,203691,532703
2013-03,101036,92977,75666,75409,97328,98194,540610,183884,141579,186014,511478
2013-04,100885,93894,78696,75582,100776,106562,556394,184763,144991,197465,527219
2013-05,97184,98613,88947,86367,100246,104403,575760,185568,166575,195368,547511
2013-06,110458,111253,93601,95410,98720,104501,613944,214060,182491,196690,593241
2013-07,108826,121409,98825,98331,123209,125384,675984,223274,191171,242118,656563
2013-08,115633,106010,103170,96674,117626,119916,659029,210150,193955,230230,634335
2013-09,96670,105487,95390,94425,114646,117446,624063,193838,179251,223579,596668
2013-10,98802,105206,89588,88942,99032,102088,583658,186252,167097,191003,544352
2013-11,103054,74438,95419,92822,105913,108419,580065,159422,182999,209392,551813
2013-12,78371,102715,81678,81832,103384,104119,552098,176253,156750,201514,534517
2014-01,100960,68966,79617,77196,96441,99200,522380,162626,149219,188214,500058
2014-02,79538,78151,73393,80158,105333,104327,520901,151472,151114,198612,501198
2014-03,87171,99929,84364,75801,110354,113459,571078,183376,155328,209753,548457
2014-04,103817,98664,87959,83072,103186,105743,582441,195395,164427,196207,556030
2014-05,99257,96431,88065,78760,106018,108338,576869,185940,156881,198670,541491
2014-06,112867,68828,93733,86093,112740,114700,588961,173221,173212,216179,562613
2014-07,100418,103747,98732,88785,115374,119634,626690,194269,181979,225517,601764
2014-08,122389,112088,122261,104675,126906,130925,719244,227295,215531,251094,693920
2014-09,101666,95199,103963,95734,113783,116183,626528,181339,188383,221095,590817
2014-10,107069,104212,102710,96076,107618,108373,626058,195362,186138,207239,588739
2014-11,82210,96233,95881,91738,118432,121245,605739,172167,175620,231077,578864
2014-12,95764,99702,82401,82650,101901,105016,567434,189873,154694,201771,546338
2015-01,94982,103469,77133,74127,98985,102685,551381,190484,140668,196959,528111
2015-02,100536,95293,75948,74966,105858,104837,557438,183427,140509,204718,528654
2015-03,100751,94175,79266,71400,104675,103040,553307,184888,139994,199718,524599
2015-04,95883,102211,101113,87527,114600,115500,616833,190057,178842,223088,591986
2015-05,99766,107579,83475,82233,99012,99980,572046,200308,158779,190212,549299
2015-06,105816,114237,78301,78614,103022,107250,587240,210997,148370,201723,561089
2015-07,102755,105926,94473,90386,122305,125769,641614,199898,175695,240066,615659
2015-08,97435,98584,95073,92724,105171,107765,596753,185616,179126,204549,569291
2015-09,90367,94825,96758,93714,98226,98942,572832,174725,180503,189293,544521
2015-10,96196,91944,97505,93228,98370,97017,574260,178947,181014,187715,547676
2015-11,99208,98146,101159,96783,111838,112150,619284,188629,188243,216781,593652
2015-12,102653,101732,86427,77907,106348,107664,582730,196039,157682,206567,560287
2016-01,104660,102145,70735,71558,102427,103409,554935,201335,136239,198420,535994
2016-02,104119,107597,75857,75764,107487,110555,581380,202679,146412,210645,559736
2016-03,95446,103370,72191,73025,108388,110891,563311,189972,138949,212490,541411
2016-04,106107,115076,94710,92701,111942,113183,633717,210651,180466,217410,608528
2016-05,102780,113145,97210,86323,109402,109762,618622,207079,177150,212361,596590
2016-06,108980,122195,74380,76636,105506,106824,594521,221806,144638,205018,571463
2016-07,136335,146977,108621,108616,123033,123898,747481,275163,210210,240034,725408
2016-08,116445,125405,85681,84350,103619,108257,623757,234490,162327,205243,602060
2016-09,120794,141528,87613,83997,103896,108617,646445,254730,164597,205442,624769
2016-10,126900,138601,93154,87198,112088,117785,675725,257492,172772,223067,653331
2016-11,92535,120076,92429,90496,108761,110660,614956,205814,176293,212999,595106
2016-12,115923,121216,79256,84667,103320,104793,609175,229829,157452,201738,589019
2017-01,114121,120367,73147,74647,91573,91604,565461,227846,141079,177278,546203
2017-02,104011,109209,73272,75814,93981,95860,552148,199484,137492,176829,513805
2017-03,94271,95348,67213,72859,94691,95690,520072,182836,133750,183802,500388
2017-04,92636,115329,72857,74387,107226,111046,573482,197580,140925,212772,551277
2017-05,112091,145426,56356,60290,105718,112674,592555,249616,110027,210402,570044
2017-06,122548,152320,64329,66653,112972,123615,642437,269134,124994,230885,625014
2017-07,153174,175622,101828,99262,135377,137112,802376,326755,207267,270275,804298
2017-08,149769,155126,113333,111133,134586,138222,802169,300836,220934,269413,791182
2017-09,128266,131753,94683,98133,101540,105944,660319,254896,188569,201228,644693
2017-10,112020,113053,88785,92510,95418,97925,599710,216308,176837,188725,581870
2017-11,106820,109396,76250,74384,94662,95645,557157,204401,141682,182000,528082
2017-12,109839,111899,64902,69582,95582,98145,549950,214977,129546,182614,527137
2018-01,120062,121006,69464,69007,101883,99256,580678,238037,131557,197435,567028
2018-02,115132,119844,80651,74093,100965,100119,590804,218454,145980,191187,555621
2018-03,136350,120693,101674,95171,121399,125200,700488,247538,191334,241394,680267
2018-04,131251,123709,89862,81839,118739,123717,669117,234571,172400,246733,653705
2018-05,110311,132275,90327,76616,104807,105457,619794,232694,176291,210503,619489
2018-06,103996,127191,89025,74047,93347,95894,583499,231992,164621,185585,582197
2018-07,125805,135024,92907,84844,110226,125364,674170,254418,178047,229633,662098
2018-08,114799,133484,93506,75631,114822,117591,649834,245869,169059,236380,651308
2018-09,121955,124215,102499,93034,107514,107336,656552,243174,201357,221169,665699
2018-10,121389,123781,94867,95096,97688,96328,629149,234856,195018,196328,626201
2018-11,106421,113333,97176,76698,94146,94279,582054,216468,174569,187822,578859
2018-12,95036,98833,94791,69821,98769,100491,557741,190689,160465,200398,551553
2019-01,113938,115910,73505,64557,90312,91986,550207,223899,137864,179843,541606
2019-02,119160,130732,76372,64832,91809,93147,576052,247160,141161,187219,575541
2019-03,124889,147385,75297,64040,85649,86680,583941,272558,140143,169461,582162
2019-04,112912,133258,80153,66079,102496,104719,599617,244665,143908,206704,595277
2019-05,123915,154130,65650,53249,108090,121805,626840,280872,122051,221384,624308
2019-06,137690,146822,76012,58058,109419,121501,649501,285092,139006,224267,648365
2019-07,133071,131800,102844,81047,124387,124955,698103,266494,188174,246829,701497
2019-08,111314,124735,104744,86242,118837,120416,666287,236282,194338,239806,670426
2019-09,115236,133240,108368,94206,117544,117365,685959,247045,200495,229443,676983
2019-10,107799,122272,99852,98067,107208,108290,643487,231185,197702,216457,645345
2019-11,124613,137028,86522,85093,93615,94705,621576,258907,170559,187624,617090
2019-12,93550,106142,84087,86735,103561,102516,576591,200638,171750,209539,581927
2020-01,99463,112111,92150,84952,106218,108526,603420,208835,175423,214365,598624
2020-02,119971,122337,94171,84673,108770,110034,639957,227084,171113,207149,605346
2020-03,109693,112606,76655,83815,103810,105951,592530,217921,159248,206626,583796
2020-04,102179,103780,85550,82780,99859,98796,572944,201576,165045,195311,561933
2020-05,103952,106528,105303,88997,111195,105269,621243,200685,190611,216545,607841
2020-06,111108,115603,111049,100730,120853,114952,674294,226157,206887,236265,669309
2020-07,135399,138265,125668,121896,132684,131219,785130,277892,247441,268134,793467
2020-08,144791,146776,127702,126794,135204,134434,815701,299116,254981,279111,833209
